Forest,BurnType,TakedownDate,TrapType,TreeNumber,CollectionEventNumber,TrapDestroyed,VialNumber,LabelCode,PrelimID,Order,Count,Family,Genus,Specimen ID,Guild,Sex,det,Preservation,Notes
sgl322,recent,6/9/25,clear vane,1,1,no,totaled,"322, CV 1, 2025-6-9",,Hymenoptera,49,,,,,,,,
sgl322,recent,6/9/25,clear vane,1,1,no,totaled,"322, CV 1, 2025-6-9",,Coleoptera,220,,,,,,,,
sgl322,recent,6/9/25,clear vane,1,1,no,totaled,"322, CV 1, 2025-6-9",,Hemiptera,62,,,,,,,,
sgl322,recent,6/9/25,clear vane,1,1,no,totaled,"322, CV 1, 2025-6-9",,Diptera,72,,,,,,,,
sgl322,recent,6/9/25,clear vane,1,1,no,totaled,"322, CV 1, 2025-6-9",,Thysanoptera,758,,,,,,,,
sgl322,recent,6/9/25,clear vane,1,1,no,totaled,"322, CV 1, 2025-6-9",,Acari,34,,,,,,,,
sgl322,recent,6/9/25,clear vane,1,1,no,totaled,"322, CV 1, 2025-6-9",,Opiliones,3,,,,,,,,
sgl322,recent,6/9/25,clear vane,1,1,no,totaled,"322, CV 1, 2025-6-9",,Collembola,2,,,,,,,,
sgl322,recent,6/9/25,clear vane,1,1,no,totaled,"322, CV 1, 2025-6-9",,Lepidoptera,3,,,,,,,,
sgl322,recent,6/9/25,clear vane,1,1,no,totaled,"322, CV 1, 2025-6-9",,Orthoptera,1,,,,,,,,
sgl322,recent,6/9/25,clear vane,1,1,no,totaled,"322, CV 1, 2025-6-9",,Blattodea,2,,,,,,,,
sgl322,recent,6/9/25,clear vane,1,1,no,totaled,"322, CV 1, 2025-6-9",,Psocodea,2,,,,,,,,
sgl322,recent,6/9/25,clear vane,1,1,no,totaled,"322, CV 1, 2025-6-9",,Neuroptera,0,,,,,,,,
sgl322,recent,6/9/25,clear vane,1,1,no,totaled,"322, CV 1, 2025-6-9",,Araneae,34,,,,,,,,
sgl322,recent,6/9/25,clear vane,1,1,no,totaled,"322, CV 1, 2025-6-9",,Mecoptera,0,,,,,,,,
sgl322,recent,6/9/25,clear vane,1,1,no,totaled,"322, CV 1, 2025-6-9",,Diplopoda,0,,,,,,,,
sgl322,medium,6/10/25,clear vane,7,1,no,totaled,"322, CV7, 2025-06-10",,Hymenoptera,58,,,,,,,,
sgl322,medium,6/10/25,clear vane,7,1,no,totaled,"322, CV7, 2025-06-10",,Coleoptera,250,,,,,,,,
sgl322,medium,6/10/25,clear vane,7,1,no,totaled,"322, CV7, 2025-06-10",,Hemiptera,55,,,,,,,,
sgl322,medium,6/10/25,clear vane,7,1,no,totaled,"322, CV7, 2025-06-10",,Diptera,96,,,,,,,,
sgl322,medium,6/10/25,clear vane,7,1,no,totaled,"322, CV7, 2025-06-10",,Thysanoptera,1301,,,,,,,,
sgl322,medium,6/10/25,clear vane,7,1,no,totaled,"322, CV7, 2025-06-10",,Acari,14,,,,,,,,
sgl322,medium,6/10/25,clear vane,7,1,no,totaled,"322, CV7, 2025-06-10",,Opiliones,1,,,,,,,,
sgl322,medium,6/10/25,clear vane,7,1,no,totaled,"322, CV7, 2025-06-10",,Collembola,23,,,,,,,,
sgl322,medium,6/10/25,clear vane,7,1,no,totaled,"322, CV7, 2025-06-10",,Lepidoptera,8,,,,,,,,
