Forest,BurnType,TakedownDate,TrapType,TreeNumber,TimePoint,TrapDestroyed,VialNumber,LabelCode,PrelimID,Order,Count,Family,LifeStage,SubfamilyOrTribe,Superfamily,Genus,Specimen ID,Guild,Sex,det,Preservation,Notes,
sgl322,recent,2025-06-09,clear vane,1,1,no,1,"322, CV 1, 2025-6-9, V1",zebra Ichneumonid,Hymenoptera,1,Ichneumonidae,,,,,,parasitoid,,,ethanol,,
sgl322,recent,2025-06-09,clear vane,1,1,no,1,"322, CV 1, 2025-6-9, V1",poss Augochlora pura,Hymenoptera,1,Halictidae,,,,,,pollinator,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,1,"322, CV 1, 2025-6-9, V1",poss Cyrtolobus,Hemiptera,1,Membracidae,,,,,,herbivore,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,1,"322, CV 1, 2025-6-9, V1",spongy moth,Lepidoptera,1,Erebidae,Juvenile,,,Lymantria,dispar,herbivore,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,1,"322, CV 1, 2025-6-9, V1",Histerid adult,Coleoptera,1,Histeridae,,,,,,predator,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,1,"322, CV 1, 2025-6-9, V1",tiny (3 mm or so) adult staphylind,Coleoptera,1,Staphylinidae,,,,,,?,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,1,"322, CV 1, 2025-6-9, V1",carabid adult,Coleoptera,1,Carabidae,,,,,,predator,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,1,"322, CV 1, 2025-6-9, V1",scarab adult,Coleoptera,1,Scarabaeidae,,,,,,herbivore,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,1,"322, CV 1, 2025-6-9, V1",big scarab adult,Coleoptera,1,Scarabaeidae,,,,,,herbivore,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,1,"322, CV 1, 2025-6-9, V1","aphid, winged",Hemiptera,1,Aphididae,,,,,,herbivore,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,1,"322, CV 1, 2025-6-9, V1","bark louse adult, probably Psocomorpha",Psocodea,1,Unknown,,,,,,?,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,1,"322, CV 1, 2025-6-9, V1",Phorid adult,Diptera,1,Phoridae,,,,,,decomposer?,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,1,"322, CV 1, 2025-6-9, V1",thrips = 27,Thysanoptera,27,Unknown,,,,,,herbivore,,,,"not stuck on wings, floating in ethanol",
sgl322,recent,2025-06-09,clear vane,1,1,no,1,"322, CV 1, 2025-6-9, V1",thrips = 15,Thysanoptera,15,Unknown,,,,,,,,,,stuck on the wing of the sticky cicada,
sgl322,recent,2025-06-09,clear vane,1,1,no,1,"322, CV 1, 2025-6-9, V1",Phoridae adult stuck on wing,Diptera,1,Phoridae,,,,,,,,,,stuck on the wing of the sticky cicada,
sgl322,recent,2025-06-09,clear vane,1,1,no,1,"322, CV 1, 2025-6-9, V1",Staph adult,Coleoptera,1,Staphylinidae,,,,,,?,,,,stuck on the wing of the sticky cicada,
sgl322,recent,2025-06-09,clear vane,1,1,no,1,"322, CV 1, 2025-6-9, V1",Phylloxerid adult,Hemiptera,1,Phylloxeridae,,,,,,herbivore,,,,stuck on the wing of the sticky cicada,
sgl322,recent,2025-06-09,clear vane,1,1,no,1,"322, CV 1, 2025-6-9, V1",Magicicada adult,Hemiptera,1,Cicadidae,,,,Magicicada,,herbivore,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,1,"322, CV 1, 2025-6-9, V1",Magicicada adult,Hemiptera,1,Cicadidae,,,,Magicicada,,herbivore,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,1,"322, CV 1, 2025-6-9, V1",Magicicada adult,Hemiptera,1,Cicadidae,,,,Magicicada,,herbivore,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,1,"322, CV 1, 2025-6-9, V1",Magicicada adult,Hemiptera,1,Cicadidae,,,,Magicicada,,herbivore,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,1,"322, CV 1, 2025-6-9, V1",Magicicada adult,Hemiptera,1,Cicadidae,,,,Magicicada,,herbivore,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,1,"322, CV 1, 2025-6-9, V1",Magicicada adult,Hemiptera,1,Cicadidae,,,,Magicicada,,herbivore,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,1,"322, CV 1, 2025-6-9, V1",Magicicada adult,Hemiptera,1,Cicadidae,,,,Magicicada,,herbivore,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,1,"322, CV 1, 2025-6-9, V1",unwinged ant,Hymenoptera,1,Formicidae,,,,,,?,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,1,"322, CV 1, 2025-6-9, V1",shield bug,Hemiptera,1,Pentatomidae,,,,,,?,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,1,"322, CV 1, 2025-6-9, V1",staph adult,Coleoptera,1,Staphylinidae,,,,,,?,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,1,"322, CV 1, 2025-6-9, V1",scolytin adult,Coleoptera,1,Curculionidae,,Scolytinae,,,,herbivore,,,,scolytininae adult,
sgl322,recent,2025-06-09,clear vane,1,1,no,1,"322, CV 1, 2025-6-9, V1",scolytin adult,Coleoptera,1,Curculionidae,,Scolytinae,,,,herbivore,,,,scolytininae adult,
sgl322,recent,2025-06-09,clear vane,1,1,no,1,"322, CV 1, 2025-6-9, V1",mordellid adult,Coleoptera,1,Mordellidae,,,,,,?,,,,I think mordellids are herbivores,
sgl322,recent,2025-06-09,clear vane,1,1,no,1,"322, CV 1, 2025-6-9, V1",mites = 5,Acari,5,Unknown,,,,,,,,,,"4 found latched onto the Histerid beetle. 1 mite free floating, but it looked similar to the Histerid mites",
sgl322,recent,2025-06-09,clear vane,1,1,no,1,"322, CV 1, 2025-6-9, V1","aphid, winged",Hemiptera,1,Aphididae,,,,,,herbivore,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,1,"322, CV 1, 2025-6-9, V1",Mycetophilid gnat,Diptera,1,Mycetophilidae,,,,,,?,,,,"decomposer? eat's fungus, so what is its functional role?",
sgl322,recent,2025-06-09,clear vane,1,1,no,1,"322, CV 1, 2025-6-9, V1",Mycetophilid gnat,Diptera,1,Mycetophilidae,,,,,,?,,,,,
,,,,,,,,,,,,,,,,,,,,,,beetle identified as a tetratomid and put into the fully identified vial 3,
,,,,,,,,,,,,,,,,,,,,,,fly put into the VDiptera vial,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,2,"322, CV 1, 2025-6-9, V2",thrips = 8,Thysanoptera,8,Unknown,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,2,"322, CV 1, 2025-6-9, V2",thrips on cicadas = 13,Thysanoptera,13,Unknown,,,,,,,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,2,"322, CV 1, 2025-6-9, V2",cicada,Hemiptera,1,Cicadidae,,,,Magicicada,,herbivore,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,2,"322, CV 1, 2025-6-9, V2",cicada,Hemiptera,1,Cicadidae,,,,Magicicada,,herbivore,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,2,"322, CV 1, 2025-6-9, V2",cicada,Hemiptera,1,Cicadidae,,,,Magicicada,,herbivore,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,2,"322, CV 1, 2025-6-9, V2",cicada,Hemiptera,1,Cicadidae,,,,Magicicada,,herbivore,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,2,"322, CV 1, 2025-6-9, V2",cicada,Hemiptera,1,Cicadidae,,,,Magicicada,,herbivore,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,2,"322, CV 1, 2025-6-9, V2",cicada,Hemiptera,1,Cicadidae,,,,Magicicada,,herbivore,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,2,"322, CV 1, 2025-6-9, V2",cicada,Hemiptera,1,Cicadidae,,,,Magicicada,,herbivore,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,2,"322, CV 1, 2025-6-9, V2","wood cockroach, winged adult",Blattodea,1,Ectobiidae,,,,Parcoblatta?,,?,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,2,"322, CV 1, 2025-6-9, V2","aphid, winged",Hemiptera,1,Aphididae,,,,,,herbivore,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,2,"322, CV 1, 2025-6-9, V2",aphid immature?,"Hemiptera, immature",1,Unknown,Juvenile,,,,,herbivore,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,2,"322, CV 1, 2025-6-9, V2",bark louse adult,Psocodea,1,Unknown,,,,,,herbivore,,,,"head was removed and then found again. If the head is a correct match, then this is a bark louse",
sgl322,recent,2025-06-09,clear vane,1,1,no,2,"322, CV 1, 2025-6-9, V2",cicadellid adult,Hemiptera,1,Cicadellidae,,,,,,herbivore,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,2,"322, CV 1, 2025-6-9, V2",psyllid adult,Hemiptera,1,Psyllidae,,,,,,herbivore,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,2,"322, CV 1, 2025-6-9, V2","adult stink bug, BUT ACTUALLY a mirid. Look for the two closed cells and the cuneus",Hemiptera,1,Miridae,,,,,,herbivore,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,2,"322, CV 1, 2025-6-9, V2","small, adult staphs (21 total)",Coleoptera,1,Staphylinidae,,,,,,?,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,2,"322, CV 1, 2025-6-9, V2","small, adult staphs (21 total)",Coleoptera,1,Staphylinidae,,,,,,?,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,2,"322, CV 1, 2025-6-9, V2","small, adult staphs (21 total)",Coleoptera,1,Staphylinidae,,,,,,?,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,2,"322, CV 1, 2025-6-9, V2","small, adult staphs (21 total)",Coleoptera,1,Staphylinidae,,,,,,?,,,,,
sgl322,recent,2025-06-09,clear vane,1,1,no,2,"322, CV 1, 2025-6-9, V2","small, adult staphs (21 total)",Coleoptera,1,Staphylinidae,,,,,,?,,,,,
